GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Mannheim,Stadtkreis,8222,429.0,1%,435,,https://www.mannheim.de/de/corona,https://www.mannheim.de/de/nachrichten/47-aktuelle-meldung-zu-corona-22-04-2020,24/04/2020 16:00, 435,329.0,,,,7.0,24.04.2020 16:00,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/,@Elvte_76, 6,C435 D7 20:15 G329 von SK,Maria,Johannes,1,,329.0,424,7.0,,,,,,,,,4.0,352,321.0,6.0,23/04/2020 00:00,8,1.0,https://www.mannheim.de/de/nachrichten/47-aktuelle-meldung-zu-corona-22-04-2020
Neckar-Odenwald-Kreis,Landkreis,8225,329.0,5%,344,344.0,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten.html,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___SARS_CoV_2_+Aktuelles+Update+der+Fallzahlen+f%C3%BCr+den+Neckar_Odenwald_Kreis___-p-5764.html,24/04/2020 12:25, 344,150.0,,,,13.0,24.04.2020 12:25,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___SARS_CoV_2_+Aktuelles+Update+der+Fallzahlen+f%C3%BCr+den+Neckar_Odenwald_Kreis___-p-5764.html,@Elvte_76, 15,344 C 150 G 13 D Checked 15:59,@jonasfbb,@plateauton,1,,150.0,312,13.0,,,,,,,,,6.0,172,142.0,13.0,23/04/2020,8,1.0,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___SARS_CoV_2_+Aktuelles+Update+der+Fallzahlen+f%C3%BCr+den+Neckar_Odenwald_Kreis___-p-5764.html
Ortenaukreis,Landkreis,8317,981.0,2%,1002,1002.0,https://www.ortenaukreis.de/corona,"https://www.ortenaukreis.de/Quicknavigation/Startseite/Covid-19-F%C3%A4lle-im-Ortenaukreis-702-Personen-gelten-inzwischen-als-genesen-17-Neu-Infektionen.php?object=tx,2390.13&ModID=7&FID=2390.15728.1&NavID=2390.6&La=1",24/04/2020 14:00,1 002,740.0,,,,79.0,24.04.2020 14:00,https://www.ortenaukreis.de/corona_fallzahlen,@Elvte_76, 21,C1002 G740 20:17 D79 vom Landesmin.,Maria,Johannes,1,,740.0,960,79.0,,,,,,,,,45.0,691,734.0,78.0,23/04/2020 14:00,8,1.0,"https://www.ortenaukreis.de/Quicknavigation/Startseite/Covid-19-F%C3%A4lle-im-Ortenaukreis-702-Personen-gelten-inzwischen-als-genesen-17-Neu-Infektionen.php?object=tx,2390.13&ModID=7&FID=2390.15728.1&NavID=2390.6&La=1"
Ostalbkreis,Landkreis,8136,1.355,1%,1370,1370.0,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,24/04/2020 00:00,1 370,695.0,,,,21.0,24/04/2020,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,@distanzreiter, 15,1370 C 695 G 21 D Checked 17:08,@jonasfbb,@plateauton,1,,695.0,1349,21.0,,,,,,,,,6.0,733,686.0,21.0,23/04/2020,8,1.0,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450
Pforzheim,Stadtkreis,8231,260.0,5%,273,,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1","https://www.enzkreis.de/Kreis-Verwaltung/Aktuelles/index.php?&object=tx,2891.3&ModID=6&FID=2891.2503.1&kat=&kuo=1&call=0&k_sub=0&La=1",24/04/2020 00:00, 273,118.0,,,,4.0,24.04.2020,"https://www.enzkreis.de/Kreis-Verwaltung/Aktuelles/index.php?&object=tx,2891.3&ModID=6&FID=2891.2503.1&kat=&kuo=1&call=0&k_sub=0&La=1",@bandur, 13,C273 G118 D4 20.26,Johannes,Maria,1,,118.0,244,4.0,,,,,,,,,3.0,92,109.0,4.0,23/04/2020 00:00,8,1.0,"https://www.enzkreis.de/Kreis-Verwaltung/Aktuelles/index.php?&object=tx,2891.3&ModID=6&FID=2891.2503.1&kat=&kuo=1&call=0&k_sub=0&La=1"
Rastatt,Landkreis,8216,479.0,0%,480,,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,24/04/2020 12:00, 480,386.0,,,,12.0,24/04/2020 12:00,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E1986992653/kreis-rastatt/Objekte/CORONA/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,@Elvte_76, 1,C480 G386 D12 20:15,Johannes,Maria,1,,386.0,477,12.0,,,,,,,,,3.0,396,363.0,12.0,23/04/2020 12:00,8,1.0,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html
Ravensburg,Landkreis,8436,533.0,1%,540,,https://www.rv.de/Politik+_+Verwaltung/aktuelles+zum+coronavirus,https://www.rv.de/Politik+_+Verwaltung/aktuelles+zum+coronavirus,24/04/2020 00:00, 540,344.0,,,,6.0,24/04/2020,https://www.rv.de/Politik+_+Verwaltung/aktuelles+zum+coronavirus,@Elvte_76, 7,C540 G344 D6 20:36,Maria,Johannes,1,,344.0,528,6.0,,,,,,,,,4.0,455,329.0,6.0,23/04/2020,8,1.0,https://www.rv.de/Politik+_+Verwaltung/aktuelles+zum+coronavirus
Rems-Murr-Kreis,Landkreis,8119,1.197,1%,1208,1208.0,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,24/04/2020 13:15,1 208,822.0, 348,,,44.0,24/04/2020 13:15,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/,@mittedeathsquad, 11,C1208 G822 Q348 20:19 D44 vom Landesmin.,Maria,Johannes,1,,822.0,1171,44.0,,,,,,,,,11.0,873,737.0,44.0,23/04/2020 13:25,8,1.0,https://www.rems-murr-kreis.de/jugend-gesundheit-soziales/gesundheit/coronavirus-aktuelle-informationen/
Reutlingen,Landkreis,8415,1.35,2%,1377,,https://www.kreis-reutlingen.de/de/Aktuelles/Landkreis-aktuell/Landkreis-aktuell?view=publish&item=article&id=1923,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/,24/04/2020 18:30,1 377,816.0,,,,56.0,24/04/2020 18:30,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/,@LSDR, 27,C1377 20:20 G816 D56 vom LK,Maria,Johannes,1,,816.0,1314,56.0,,,,,,,,,14.0,776,802.0,55.0,23/04/2020,8,1.0,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/
Rhein-Neckar-Kreis,Landkreis,8226,860.0,0%,861,,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",https://www.rhein-neckar-kreis.de/site/Rhein-Neckar-Kreis-2016/get/params_E1684809986/2444925/200422_Faktenblatt_Corona_RNK.pdf,24/04/2020 14:00, 861,699.0, 502,,,28.0,24.04.2020 14:00,https://www.rhein-neckar-kreis.de/site/Rhein-Neckar-Kreis-2016/get/params_E-1161178992/2444925/200421_Faktenblatt_Corona_RNK.pdf,@Elvte_76, 1,C861 G699 Q502 D28 20:32,Johannes,Maria,1,,699.0,855,28.0,759.0,,,,,,,,15.0,745,687.0,26.0,23/04/2020,8,1.0,https://www.rhein-neckar-kreis.de/site/Rhein-Neckar-Kreis-2016/get/params_E1684809986/2444925/200422_Faktenblatt_Corona_RNK.pdf
Rottweil,Landkreis,8325,554.0,2%,566,,https://www.landkreis-rottweil.de/de/Aktuelles/Aktuelle-Nachrichten/Nachricht?view=publish&item=article&id=2496,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/,24/04/2020 18:30, 566,333.0,,,,14.0,24/04/2020 18:30,https://www.landkreis-rottweil.de/de/Aktuelles/Aktuelle-Nachrichten/Nachricht?view=publish&item=article&id=2496,@LSDR, 12,C566 G333 D14 20:34,Maria,Johannes,1,,333.0,542,14.0,2.0,,,,,,,,4.0,325,324.0,13.0,23/04/2020,8,1.0,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/
Schwäbisch Hall,Landkreis,8127,942.0,1%,954,,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,24/04/2020 17:40, 954,673.0,,,,40.0,24.04.2020 17:40,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=,@Elvte_76, 12,C954 G673 D40 20:33,Maria,Johannes,1,,673.0,935,40.0,,,,,,,,,25.0,777,652.0,40.0,23/04/2020 00:00,8,1.0,https://www.lrasha.de/index.php?id=953?&no_cache=1&publish[id]=1107342&publish[start]=
Schwarzwald-Baar-Kreis,Landkreis,8326,466.0,2%,475,,https://www.lrasbk.de/Aktuelles/Neuigkeiten,"https://www.lrasbk.de/Aktuelles/Neuigkeiten/Coronavirus-Gesundheitsamt-informiert-%C3%BCber-die-aktuellen-Zahlen-Stand-22-04-2020-11-Uhr.php?object=tx,2961.5.1&ModID=7&FID=2961.13290.1&NavID=2961.1467&La=1",24/04/2020 00:00, 475,312.0,,35.0,,15.0,24/04/2020 10:30,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/,@distanzreiter, 9,C475 20:22 G312 D15 S35 vom LK,Maria,Johannes,1,,312.0,446,15.0,80.0,,,,,,,,3.0,336,301.0,15.0,23/04/2020,8,1.0,"https://www.lrasbk.de/Aktuelles/Neuigkeiten/Coronavirus-Gesundheitsamt-informiert-%C3%BCber-die-aktuellen-Zahlen-Stand-22-04-2020-11-Uhr.php?object=tx,2961.5.1&ModID=7&FID=2961.13290.1&NavID=2961.1467&La=1"
Sigmaringen,Landkreis,8437,740.0,2%,753,753.0,https://www.landkreis-sigmaringen.de/de/Landratsamt/Kreisverwaltung/Fachbereiche/Gesundheit/Informationen-zum-neuartigen-Coronavirus,http://lrasig.maps.arcgis.com/apps/opsdashboard/index.html#/302d9754202c4d4896c0a1d6660cd676,24/04/2020 15:30, 753,541.0,,4.0,,30.0,24.04.2020 15:30,http://lrasig.maps.arcgis.com/apps/opsdashboard/index.html#/302d9754202c4d4896c0a1d6660cd676,@Elvte_76, 13,C753 G541 D30 20:24,Maria,Johannes,1,,541.0,734,30.0,,,,,,,,,19.0,576,480.0,29.0,23/04/2020 17:00,8,1.0,http://lrasig.maps.arcgis.com/apps/opsdashboard/index.html#/302d9754202c4d4896c0a1d6660cd676
Stuttgart,Stadtkreis,8111,1.389,0%,1389,,https://coronavirus.stuttgart.de/item/show/690058/1,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/downloads/Downloads_Gesundheitsschutz/200422_COVID_Lagebericht_LGA_.pdf,24/04/2020 00:00,1 389,623.0,1 500,50.0,12.0,45.0,24/04/2020,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/downloads/Downloads_Gesundheitsschutz/200424_COVID_Lagebericht_LGA_.pdf,NichtsNeues,0,keine Veränderung zum Vortag laut Landesmin.,Maria,Johannes,1,,623.0,1365,45.0,1500.0,,,,,,https://twitter.com/stuttgart_stadt,https://www.facebook.com/Stadt.Stuttgart,15.0,1090,623.0,45.0,23/04/2020 00:00,8,1.0,https://sozialministerium.baden-wuerttemberg.de/fileadmin/redaktion/m-sm/intern/downloads/Downloads_Gesundheitsschutz/200422_COVID_Lagebericht_LGA_.pdf
Tübingen,Landkreis,8416,1.207,0%,1212,,https://www.kreis-tuebingen.de/16773854.html,"https://www.gea.de/dossiers/coronavirus_artikel,-11-neue-todesf%C3%A4lle-im-kreis-reutlingen-ob-keck-beurteilt-lockerungen-der-corona-verordnung-sehr-ske-_arid,6250907.html",24/04/2020 00:00,1 212,933.0,,44.0,24.0,41.0,24/04/2020,"https://www.gea.de/dossiers/coronavirus_artikel,-zw%C3%B6lf-neue-corona-f%C3%A4lle-im-kreis-reutlingen-f%C3%BCnf-im-kreis-t%C3%BCbingen-video-ansprache-von-thomas-keck-_arid,6250907.html",@bandur, 5,C1212 G933 D41 20:29,Maria,Johannes,1,,933.0,1197,41.0,,,,,,,,,16.0,1069,130.0,40.0,23/04/2020 00:00,8,1.0,"https://www.gea.de/dossiers/coronavirus_artikel,-11-neue-todesf%C3%A4lle-im-kreis-reutlingen-ob-keck-beurteilt-lockerungen-der-corona-verordnung-sehr-ske-_arid,6250907.html"
Tuttlingen,Landkreis,8327,432.0,1%,435,,"https://www.landkreis-tuttlingen.de/Quicknavigation/Start/index.php?La=1&object=tx,2527.11019.1&kat=&kuo=2&sub=0",https://www.landkreis-tuttlingen.de/media/custom/2527_2185_1.PDF?1587568290,24/04/2020 12:30, 435,255.0, 173,15.0,,12.0,24/04/2020 12:30,"https://www.landkreis-tuttlingen.de/Quicknavigation/Start/index.php?La=1&object=tx,2527.11019.1&kat=&kuo=2&sub=0",@mittedeathsquad, 3,C435 G255 D12 20:28,Maria,Johannes,1,,255.0,424,12.0,277.0,,,,,,,,5.0,336,232.0,12.0,23/04/2020 14:00,8,1.0,https://www.landkreis-tuttlingen.de/media/custom/2527_2185_1.PDF?1587568290
Ulm,Stadtkreis,8421,238.0,3%,244,,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,24/04/2020 15:40, 244,,,,,4.0,24.04.2020 15:40,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html,@Elvte_76, 6,C244 G188 D4 20:12,Johannes,Maria,1,,,234,4.0,,,,,,,,,1.0,202,184.0,3.0,23/04/2020 16:30,8,1.0,https://www.alb-donau-kreis.de/alb-donau-kreis/startseite/dienstleistungen+service/coronavirus.html
Waldshut,Landkreis,8337,292.0,1%,296,,https://www.landkreis-waldshut.de/aktuelles/,https://www.landkreis-waldshut.de/aktuelles/2020/weiterhin-geringe-zunahme-an-covid-19-infektionen-bisher-288-bestaetigte-faelle-im-landkreis-waldshut/,24/04/2020 16:00, 296,199.0,,18.0,,34.0,24/04/2020 16:00,https://www.landkreis-waldshut.de/aktuelles/2020/covid-19-199-personen-gelten-als-genesen-vier-neuinfektionen-stand-24042020-1600-uhr/,@Elvte_76, 4,C296 G199 S18 D34 20:27,Maria,Johannes,1,,199.0,288,34.0,,,,,,,,,9.0,218,193.0,32.0,23/04/2020,8,1.0,https://www.landkreis-waldshut.de/aktuelles/2020/weiterhin-geringe-zunahme-an-covid-19-infektionen-bisher-288-bestaetigte-faelle-im-landkreis-waldshut/
Zollernalbkreis,Landkreis,8417,961.0,2%,981,978.0,https://www.zollernalbkreis.de/aktuelles/nachrichten/antworten+auf+haeufig+gestellte+fragen+zum+neuartigen+coronavirus,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/,24/04/2020 00:00, 981,496.0,,122.0,13.0,55.0,24.04.2020,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/,@bandur, 20,C981 D55 20:25 G496 S122 I13 vom LK,Maria,Johannes,1,,496.0,930,55.0,,,,,,,,,22.0,638,481.0,54.0,23/04/2020 16:30,8,1.0,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/lage-in-baden-wuerttemberg/
Aichach-Friedberg,Landkreis,9771,278.0,0%,278,,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,https://presse-augsburg.de/corona-update-fuer-augsburg-und-schwaben-5/548193/,23/04/2020 14:00, 283,206.0,,13.0,5.0,19.0,24/04/2020 15:00,https://lra-aic-fdb.de/landratsamt/fachbereiche/abteilung-3-oeffentliche-sicherheit/gesundheitsamt/informationen-zum-coronavirus,@mittedeathsquad, 5,C283 G206 D19 22:30-23:00,James,,0,,197.0,278,19.0,,,,,,,,,4.0,199,197.0,19.0,23/04/2020 14:00,9,1.0,https://presse-augsburg.de/corona-update-fuer-augsburg-und-schwaben-5/548193/
Altötting,Landkreis,9171,552.0,2%,564,561.0,https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert,https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert,24/04/2020 15:00, 564,311.0,,20.0,6.0,32.0,24/04/2020 15:00,https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert,@distanzreiter, 12,564 C 311 G 32 D Checked 12:57,@jonasfbb,@plateauton,1,,311.0,550,32.0,,,,,,,,,6.0,367,300.0,31.0,23/04/2020 09:00,9,1.0,https://www.lra-aoe.de/informationen-zu-corona/corona-das-gesundheitsamt-informiert
Amberg,Kreisfreie Stadt,9361,71.0,0%,71,,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,https://www.onetz.de/oberpfalz/amberg/kein-weiterer-neuer-corona-todesfall-stadt-landkreis-amberg-sulzbach-id3012763.html,23/04/2020 20:26, 71,39.0, 21,,,3.0,24.04.2020 12:00,https://www.onetz.de/oberpfalz/amberg/amberg-region-corona-lage-freitag-id3014059.html,@Elvte_76,0,C71 G39 D3 22:30-23:00,James,,0,,35.0,69,3.0,,,,,,,,https://www.facebook.com/Amberg.de/,1.0,49,35.0,3.0,23.04.2020,9,1.0,https://www.onetz.de/oberpfalz/amberg/kein-weiterer-neuer-corona-todesfall-stadt-landkreis-amberg-sulzbach-id3012763.html
Amberg-Sulzbach,Landkreis,9371,425.0,0%,425,,https://www.kreis-as.de/Verwaltung-Politik/Aktuelles/Coronavirus,https://www.onetz.de/oberpfalz/amberg/kein-weiterer-neuer-corona-todesfall-stadt-landkreis-amberg-sulzbach-id3012763.html,23/04/2020 20:26, 434,165.0, 186,,,36.0,24.04.2020,https://www.onetz.de/oberpfalz/amberg/amberg-region-corona-lage-freitag-id3014059.html,@Elvte_76, 9,C434 G165 D36 22:30-23:00,James,,0,,136.0,421,34.0,60.0,,,,,,,https://www.facebook.com/pg/landratsamt.ambergsulzbach/posts/,3.0,253,136.0,34.0,23.04.2020,9,1.0,https://www.onetz.de/oberpfalz/amberg/kein-weiterer-neuer-corona-todesfall-stadt-landkreis-amberg-sulzbach-id3012763.html
Ansbach,Kreisfreie Stadt,9561,112.0,0%,112,118.0,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,23/04/2020 00:00, 118,,,,,5.0,24/04/2020 09:00,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,@jonasfbb, 6,C118 G D5 22:30-23:00,James,,0,,50.0,108,6.0,,,,,,,,,,70,50.0,6.0,23/04/2020 00:00,9,1.0,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus
Ansbach,Landkreis,9571,480.0,0%,480,485.0,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,23/04/2020 00:00, 485,,,,,10.0,24/04/2020 09:00,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,@jonasfbb, 5,C485 G D10 22:30-23:00,James,,0,,166.0,470,11.0,,,,,,,,,2.0,298,166.0,11.0,23/04/2020 00:00,9,1.0,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus
Aschaffenburg,Kreisfreie Stadt,9661,135.0,0%,135,,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409.html,https://primavera24.de/ticker-aktuelle-corona-lage-im-primaveraland/,23/04/2020 00:00, 138,100.0, 91,,,1.0,24.04.2020,https://primavera24.de/ticker-aktuelle-corona-lage-im-primaveraland/,@bandur, 3,C138 G100 D1 22:30-23:00,James,,0,,99.0,134,1.0,189.0,,,,,,,,1.0,100,99.0,1.0,23/04/2020,9,1.0,https://primavera24.de/ticker-aktuelle-corona-lage-im-primaveraland/
Aschaffenburg,Landkreis,9671,440.0,0%,440,,https://www.landkreis-aschaffenburg.de/wer-macht-was/gesund-soziales/gesund/corona/,https://primavera24.de/ticker-aktuelle-corona-lage-im-primaveraland/,23/04/2020 00:00, 443,278.0, 255,22.0,12.0,26.0,24.04.2020,https://primavera24.de/ticker-aktuelle-corona-lage-im-primaveraland/,@bandur, 3,C443 G278 D26 22:30-23:00,James,,0,,275.0,427,26.0,510.0,,,,,,,,14.0,304,275.0,26.0,23/04/2020,9,1.0,https://primavera24.de/ticker-aktuelle-corona-lage-im-primaveraland/
Augsburg,Kreisfreie Stadt,9761,367.0,2%,373,373.0,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,24/04/2020 09:30, 373,273.0, 575,,,12.0,24/04/2020 09:30,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus/fallzahlen,@distanzreiter, 6,373 C 273 G 12 D Checked 10:49,@jonasfbb,Stain Fels,1,,273.0,361,12.0,575.0,,,,,,,,4.0,281,267.0,11.0,23/04/2020 09:30,9,1.0,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus
Augsburg,Landkreis,9772,345.0,0%,345,,https://www.landkreis-augsburg.de/news/detail/coronavirus/,https://www.landkreis-augsburg.de/news/detail/coronavirus/,23/04/2020 00:00, 349,248.0, 139,,,7.0,24/04/2020,https://www.landkreis-augsburg.de/news/detail/coronavirus/,@Elvte_76, 4,C349 G248 D7 22:30-23:00,James,,0,,241.0,343,7.0,364.0,,,,,,,,1.0,292,241.0,7.0,23/04/2020 00:00,9,1.0,https://www.landkreis-augsburg.de/news/detail/coronavirus/
Bad Kissingen,Landkreis,9672,237.0,0%,237,,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/10681.Aktuelle-Meldungen-zum-Coronavirus.html,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/10681.Aktuelle-Meldungen-zum-Coronavirus.html,23/04/2020 00:00, 239,119.0, 144,,,16.0,24/04/2020 18:30,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/10681.Aktuelle-Meldungen-zum-Coronavirus.html,@LSDR, 2,C239 G119 D16 22:30-23:00,James,,0,,112.0,231,15.0,229.0,,,,,,,https://www.facebook.com/LandkreisBadKissingen,1.0,155,112.0,15.0,23/04/2020 00:00,9,1.0,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/10681.Aktuelle-Meldungen-zum-Coronavirus.html
Bad Tölz-Wolfratshausen,Landkreis,9173,394.0,0%,394,,https://www.lra-toelz.de/coronavirus,https://www.lra-toelz.de/389-infizierte-268-genesene,23/04/2020 00:00, 395,298.0,,16.0,4.0,4.0,24.04.2020,https://www.lra-toelz.de/corona-395-personen-nachweislich-infiziert-298-aus-der-quarantaene-entlassen,@Elvte_76, 1,C395 G298 D4 22:30-23:00,James,,0,,284.0,389,4.0,106.0,,,,,,,,4.0,308,284.0,4.0,23.04.2020,9,1.0,https://www.lra-toelz.de/389-infizierte-268-genesene
Bamberg,Kreisfreie Stadt,9461,177.0,0%,177,,https://www.landkreis-bamberg.de/Leben/Gesundheit-und-Soziales/Corona-Virus/Pressemitteilungen/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,23/04/2020 10:00, 179,96.0,,,,13.0,24/04/2020,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@Colonia Claudia, 2,C179 G96 D13 22:30-23:00,James,,0,,96.0,174,13.0,,,,,,,,https://www.facebook.com/bamberg.de/,1.0,127,96.0,13.0,23.04.2020,9,1.0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm
